occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99;7f9cec4d61629bfb8be368f69dde0a7134bcf9e1;223e2b1d403d6a9614d62f880cfbdd48;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;TypeScript::::src/harness/tsconfig.json::::extends::::../tsconfig-base <-> TypeScript::::src/typingsInstaller/tsconfig.json::::extends::::../tsconfig-base;src/typingsInstaller/tsconfig.json;TypeScript::::src/typingsInstaller/tsconfig.json::::extends(location: 2);git show b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99 -- src/typingsInstaller/tsconfig.json;yes;extends changed;path
93bac1b81f5dfc324d7c8f33febf0a41afc97261;17574a87bf23f3db220d3a79dcb66e8fcf8c6b1f;85ec613215dce3567ffef4382d882b35;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param5::::-- <-> TypeScript::::tests/cases/docker/vue-next/Dockerfile::::cmd::::param3::::--;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param5(location: 22);git show 93bac1b81f5dfc324d7c8f33febf0a41afc97261 -- tests/cases/docker/office-ui-fabric/Dockerfile;no;Docker CMD params (makes no sense);unknown
b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99;7f9cec4d61629bfb8be368f69dde0a7134bcf9e1;730b8a1225610567027ff3eccff4b3b9;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;TypeScript::::src/cancellationToken/tsconfig.json::::extends::::../tsconfig-base <-> TypeScript::::src/server/tsconfig.json::::extends::::../tsconfig-base;src/cancellationToken/tsconfig.json;TypeScript::::src/cancellationToken/tsconfig.json::::extends(location: 2);git show b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99 -- src/cancellationToken/tsconfig.json;yes;extends changed;path
46f02955b01f578179b2504b28bd1e4a74af9508;b1b9ac06127f882d61ff5d0bb2d59a940fb37b18;e8adf837a5ec1beb6452421b2799e97e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::src/tsc/tsconfig.json::::references::::path::::../core <-> TypeScript::::tests/projects/sample1/tests/tsconfig.json::::references::::path::::../core;src/tsc/tsconfig.json;TypeScript::::src/tsc/tsconfig.json::::references::::path(location: 10);git show 46f02955b01f578179b2504b28bd1e4a74af9508 -- src/tsc/tsconfig.json;no;multiple options with same name;unknown
4f7eaf7d719b04c2b96085beb7a9197208d8b24e;13ecdb5344aef171ea9f8271be8002832791aa2b;9b1104355ab86dcbeaa3655916847c93;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/azure-sdk/Dockerfile::::entrypoint::::param0::::rush <-> TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::entrypoint::::param0::::rush;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::entrypoint::::param0(location: 20);git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile;no;Docker entrypoint changed;unknown
4f7eaf7d719b04c2b96085beb7a9197208d8b24e;13ecdb5344aef171ea9f8271be8002832791aa2b;d6d7f07fa2f26f805993004378b543e7;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;TypeScript::::tests/cases/docker/azure-sdk/Dockerfile::::cmd::::exec_command::::rebuild --parallelism 1 <-> TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::exec_command::::rebuild --parallelism 1;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::exec_command(location: 21);git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile;yes;Docker exec command changed;command
652f28164fe030268658cef9810d2c04a16e391b;f16a3e101b8c6dc9fc0d484236a0200d8ce45a62;41fa61de9e9e7c2a2a721eebd3804dc1;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param1::::build <-> TypeScript::::tests/cases/docker/xterm.js/Dockerfile::::cmd::::param2::::build;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param1(location: 20);git show 652f28164fe030268658cef9810d2c04a16e391b -- tests/cases/docker/office-ui-fabric/Dockerfile;no;Docker CMD params (makes no sense);unknown
4f7eaf7d719b04c2b96085beb7a9197208d8b24e;13ecdb5344aef171ea9f8271be8002832791aa2b;de173cb0fe5a11f798fe865d2bf4023b;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/azure-sdk/Dockerfile::::cmd::::param0::::rebuild <-> TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param0::::rebuild;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param0(location: 21);git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile;no;Docker CMD params (makes no sense);unknown
d2051d7a160e9a9bd0ba4df3386c3f6a52ba724a;526ac1a17bcd91f61df7a17997425f6772ef1fe6;26d9232d84aa0afb67f09a0b8cf8be80;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;TypeScript::::package.json::::devDependencies::::@octokit/rest::::@octokit/rest:latest <-> TypeScript::::tests/cases/user/octokit-rest/package.json::::dependencies::::@octokit/rest::::@octokit/rest:latest;package.json;TypeScript::::package.json::::devDependencies::::@octokit/rest(location: 32);git show d2051d7a160e9a9bd0ba4df3386c3f6a52ba724a -- package.json;yes;library version changed;version number
b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99;7f9cec4d61629bfb8be368f69dde0a7134bcf9e1;09b9fe4f45fe13fa17f1274562e7ce97;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;TypeScript::::src/harness/tsconfig.json::::extends::::../tsconfig-base <-> TypeScript::::src/watchGuard/tsconfig.json::::extends::::../tsconfig-base;src/watchGuard/tsconfig.json;TypeScript::::src/watchGuard/tsconfig.json::::extends(location: 2);git show b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99 -- src/watchGuard/tsconfig.json;yes;extends changed;path
652f28164fe030268658cef9810d2c04a16e391b;f16a3e101b8c6dc9fc0d484236a0200d8ce45a62;5d2524e946fdf38b886d973379bd93fd;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param0::::run <-> TypeScript::::tests/cases/docker/xterm.js/Dockerfile::::cmd::::param1::::run;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param0(location: 20);git show 652f28164fe030268658cef9810d2c04a16e391b -- tests/cases/docker/office-ui-fabric/Dockerfile;no;Docker CMD params (makes no sense);unknown
46f02955b01f578179b2504b28bd1e4a74af9508;b1b9ac06127f882d61ff5d0bb2d59a940fb37b18;ffd54ae717c8da44e2056b8282b13d2c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;TypeScript::::package.json::::devDependencies::::@types/mocha::::@types/mocha:latest <-> TypeScript::::tests/cases/user/tslint/package.json::::devDependencies::::@types/mocha::::@types/mocha:latest;package.json;TypeScript::::package.json::::devDependencies::::@types/mocha(location: 48);git show 46f02955b01f578179b2504b28bd1e4a74af9508 -- package.json;yes;library version changed;version number
652f28164fe030268658cef9810d2c04a16e391b;f16a3e101b8c6dc9fc0d484236a0200d8ce45a62;7bc6cf842bbd932ef29295e00af26a15;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param8::::--production <-> TypeScript::::tests/cases/docker/vue-next/Dockerfile::::cmd::::param2::::--production;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param8(location: 20);git show 652f28164fe030268658cef9810d2c04a16e391b -- tests/cases/docker/office-ui-fabric/Dockerfile;no;Docker CMD params (makes no sense);unknown
652f28164fe030268658cef9810d2c04a16e391b;f16a3e101b8c6dc9fc0d484236a0200d8ce45a62;52c8ffa6bcc81d2129ca2006eb86d793;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param7::::-- <-> TypeScript::::tests/cases/docker/vue-next/Dockerfile::::cmd::::param3::::--;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param7(location: 20);git show 652f28164fe030268658cef9810d2c04a16e391b -- tests/cases/docker/office-ui-fabric/Dockerfile;no;Docker CMD params (makes no sense);unknown
93bac1b81f5dfc324d7c8f33febf0a41afc97261;17574a87bf23f3db220d3a79dcb66e8fcf8c6b1f;6fd0e0ccdf1a03bfad6a3b85ab5ad0a5;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param6::::--production <-> TypeScript::::tests/cases/docker/vue-next/Dockerfile::::cmd::::param2::::--production;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param6(location: 22);git show 93bac1b81f5dfc324d7c8f33febf0a41afc97261 -- tests/cases/docker/office-ui-fabric/Dockerfile;no;Docker CMD params (makes no sense);unknown
0548b23fde61dc40d49a21311e936c5f8b1e7342;140601b6a56b2d9b9920be2921a27913e50d5d98;ed51225e9dfe156615f3cf8f3eb24264;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;TypeScript::::package.json::::devDependencies::::@types/node::::@types/node:latest <-> TypeScript::::tests/cases/user/tslint/package.json::::devDependencies::::@types/node::::@types/node:latest;package.json;TypeScript::::package.json::::devDependencies::::@types/node(location: 47);git show 0548b23fde61dc40d49a21311e936c5f8b1e7342 -- package.json;yes;library version changed;version number
4f7eaf7d719b04c2b96085beb7a9197208d8b24e;13ecdb5344aef171ea9f8271be8002832791aa2b;9aa454c3be9813f697bedd02b93b4b00;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::tests/cases/docker/azure-sdk/Dockerfile::::cmd::::param1::::--parallelism <-> TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param1::::--parallelism;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param1(location: 21);git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile;no;Docker CMD params (makes no sense);unknown
4f7eaf7d719b04c2b96085beb7a9197208d8b24e;13ecdb5344aef171ea9f8271be8002832791aa2b;a758b470089553e11705eabc8af03caa;ModifiedOptionConflict;ConfigType.PORT<->ConfigType.PORT;TypeScript::::tests/cases/docker/azure-sdk/Dockerfile::::cmd::::param2::::1 <-> TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param2::::1;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param2(location: 21);git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile;no;Docker CMD params (makes no sense);unknown
b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99;7f9cec4d61629bfb8be368f69dde0a7134bcf9e1;23b6530df3227368079d221b42760995;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;TypeScript::::src/harness/tsconfig.json::::extends::::../tsconfig-base <-> TypeScript::::src/testRunner/tsconfig.json::::extends::::../tsconfig-base;src/testRunner/tsconfig.json;TypeScript::::src/testRunner/tsconfig.json::::extends(location: 2);git show b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99 -- src/testRunner/tsconfig.json;yes;extends changed;path
4f7eaf7d719b04c2b96085beb7a9197208d8b24e;13ecdb5344aef171ea9f8271be8002832791aa2b;fd8f8679445e733793cdd6c647ea08eb;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;TypeScript::::tests/cases/docker/azure-sdk/Dockerfile::::entrypoint::::exec_command::::rush <-> TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::entrypoint::::exec_command::::rush;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::entrypoint::::exec_command(location: 20);git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile;yes;Docker exec command changed;command
b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99;7f9cec4d61629bfb8be368f69dde0a7134bcf9e1;2b9b860bf5840d0c894b7c1c47b82479;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;TypeScript::::src/jsTyping/tsconfig.json::::extends::::../tsconfig-base <-> TypeScript::::src/tsc/tsconfig.json::::extends::::../tsconfig-base;src/tsc/tsconfig.json;TypeScript::::src/tsc/tsconfig.json::::extends(location: 2);git show b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99 -- src/tsc/tsconfig.json;yes;extends changed;path
4f7eaf7d719b04c2b96085beb7a9197208d8b24e;13ecdb5344aef171ea9f8271be8002832791aa2b;52c10e37b9e65eea20c7cb9bcad4ed87;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::copy::::dest::::/typescript.tgz <-> TypeScript::::tests/cases/docker/vscode/Dockerfile::::copy::::dest::::/typescript.tgz;tests/cases/docker/office-ui-fabric/Dockerfile;TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::copy::::dest(location: 6);git show 4f7eaf7d719b04c2b96085beb7a9197208d8b24e -- tests/cases/docker/office-ui-fabric/Dockerfile;no;cannot recognize changes;path
b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99;7f9cec4d61629bfb8be368f69dde0a7134bcf9e1;716eb6b3d9d0e1a4000ccaf278b16bb1;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;TypeScript::::src/tsserver/tsconfig.json::::extends::::../tsconfig-base <-> TypeScript::::src/typingsInstallerCore/tsconfig.json::::extends::::../tsconfig-base;src/tsserver/tsconfig.json;TypeScript::::src/tsserver/tsconfig.json::::extends(location: 2);git show b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99 -- src/tsserver/tsconfig.json;yes;extends changed;path
46f02955b01f578179b2504b28bd1e4a74af9508;b1b9ac06127f882d61ff5d0bb2d59a940fb37b18;127e25e80b4e70a0c05b3857bf138be6;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;TypeScript::::src/jsTyping/tsconfig.json::::references::::path::::../core <-> TypeScript::::tests/projects/sample1/logic/tsconfig.json::::references::::path::::../core;src/jsTyping/tsconfig.json;TypeScript::::src/jsTyping/tsconfig.json::::references::::path(location: 14);git show 46f02955b01f578179b2504b28bd1e4a74af9508 -- src/jsTyping/tsconfig.json;no ;multiple options with same name;unknown
