occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
2015bf9ee34f1426130c2cd37a728c5222c71e8a,4ae4a2c1c6c23b2a191caf29d01670130b8cd63d,7ede0e6320f65548d1aec76ff5e6639b,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,create-react-app::::packages/babel-plugin-named-asset-import/package.json::::peerDependencies::::@babel/core::::@babel/core:7.1.0 <-> create-react-app::::packages/babel-preset-react-app/package.json::::dependencies::::@babel/core::::@babel/core:7.1.0,packages/babel-plugin-named-asset-import/package.json,create-react-app::::packages/babel-plugin-named-asset-import/package.json::::peerDependencies::::@babel/core(location: 15),git show 2015bf9ee34f1426130c2cd37a728c5222c71e8a -- packages/babel-plugin-named-asset-import/package.json
e34b51519fea664560ae40ed68d782e55e3dff9e,dc578da5da7f9ac78b20367084013aedbe3255bd,a18a129f25cd1309001a5331d5f6439d,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::babel-eslint::::babel-eslint:7.0.0 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::babel-eslint::::babel-eslint:7.0.0,packages/eslint-config-react-app/package.json,create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::babel-eslint(location: 14),git show e34b51519fea664560ae40ed68d782e55e3dff9e -- packages/eslint-config-react-app/package.json
2c988c76ab5591f74d93080a8188df913ca7dd14,95b31786af7143970312dbeddd626b3719856ac2,a48f630db99384e9ab0bc8a70352ba98,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,create-react-app::::packages/babel-preset-react-app/package.json::::version::::version:0.2.1 <-> create-react-app::::packages/react-dev-utils/package.json::::version::::version:0.2.1,packages/react-dev-utils/package.json,create-react-app::::packages/react-dev-utils/package.json::::version(location: 3),git show 2c988c76ab5591f74d93080a8188df913ca7dd14 -- packages/react-dev-utils/package.json
dd9e39daac669d7fee3241215426ebecbb95c735,d7aff7073023a737fe2b7eacbf18cfeb64f729ec,2c75cc3aa8df73060c2d9801348ea7d2,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,create-react-app::::.travis.yml::::node_js::::4 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_3::::nodejs_version::::4,,,
be90ce654b32c24d51014ccf66eeaf2c8fbe2f6a,2b25614d2e3ccc5c771ffa52ceb5ee2a33361910,634000a8599e30eed13bf60d6bb8727e,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,create-react-app::::packages/react-error-overlay/package.json::::dependencies::::object-assign::::object-assign:4.1.1 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::object-assign::::object-assign:4.1.1,,,
4082c3343b105a993f8953e46f187c29c2c2361a,793bb42158e6d7c4d6e4171b9754108ba8229e70,9c7a3715e22ece54f60f5b67e7418144,MissingArtifactConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,create-react-app::::test/fixtures/typescript-advanced/package.json::::dependencies::::@types/react::::@types/react:* <-> create-react-app::::test/fixtures/typescript-typecheck/package.json::::dependencies::::@types/react::::@types/react:*,,,
3c28750592b42dfd2b2f0af432419a736386d9dc,0b011dc8a3d02a5f5bd9954a924b6cd2541e853d,e6b8d3ac090d3e8b9bfd70444b922f7e,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::@babel/core::::@babel/core:7.1.0 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::@babel/core::::@babel/core:7.1.0,packages/react-scripts/package.json,create-react-app::::packages/react-scripts/package.json::::dependencies::::@babel/core(location: 27),git show 3c28750592b42dfd2b2f0af432419a736386d9dc -- packages/react-scripts/package.json
d67bd80b84b564feafda36e54f5d50ab01938c08,7e1daec99b76561b1f6d567dd7bbeb490ca21848,d594e831e33b800b465e8341ee427f87,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,create-react-app::::global-cli/package.json::::version::::version:0.3.0 <-> create-react-app::::package.json::::version::::version:0.3.0,package.json,create-react-app::::package.json::::version(location: 3),git show d67bd80b84b564feafda36e54f5d50ab01938c08 -- package.json
dccd21350cdb8b2d4b48415ce3539df16d2024e4,3e7974fa2f7f5ffb18d885fff7feb2255fb27970,e3a68ca25005e466b326b5e058c696ac,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,create-react-app::::packages/react-dev-utils/package.json::::dependencies::::strip-ansi::::strip-ansi:3.0.1 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::strip-ansi::::strip-ansi:3.0.1,,,
858efb7ceab6d35a66ce90fd9b659c7dacc1cd6f,6b61eb0343c9eacda1d2b577d830c14cd3dfccf5,31936de37f289ea291860fe4c59292fc,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,create-react-app::::global-cli/package.json::::dependencies::::cross-spawn::::cross-spawn:^4.0.0 <-> create-react-app::::package.json::::dependencies::::cross-spawn::::cross-spawn:^4.0.0,package.json,create-react-app::::package.json::::dependencies::::cross-spawn(location: 41),git show 858efb7ceab6d35a66ce90fd9b659c7dacc1cd6f -- package.json
ebbaa87f4d6c59a7d54e0e859051d2ec97800087,666726b50a12eb10e6a980986a9a1f2ef54fca68,97d56a08d47a0c6fc9ea7933711ff278,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,create-react-app::::package.json::::devDependencies::::eslint::::eslint:5.16.0 <-> create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint::::eslint:5.16.0,packages/react-error-overlay/package.json,create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint(location: 47),git show ebbaa87f4d6c59a7d54e0e859051d2ec97800087 -- packages/react-error-overlay/package.json
d347221624f19a7b38c58fdfc7de68a111c20e17,cad24f6e392e39b8d4ef9ff2b4ea554a96b52327,63ae5a1545df2c12fc99511e3a6f1d6e,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,create-react-app::::packages/react-error-overlay/package.json::::version::::version:1.0.8 <-> create-react-app::::packages/react-scripts/package.json::::version::::version:1.0.8,packages/react-scripts/package.json,create-react-app::::packages/react-scripts/package.json::::version(location: 3),git show d347221624f19a7b38c58fdfc7de68a111c20e17 -- packages/react-scripts/package.json
2bd5716887b0384c51e2586e37d53a941fabc2fa,e9d3c821c5504cd3814466b35e0187b853663725,a39ab7142d701754e4a30b098a12b74e,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,create-react-app::::.travis.yml::::node_js::::6 <-> create-react-app::::appveyor.yml::::environment::::matrix::::matrix_4::::nodejs_version::::6,,,
5067d1289670f3cda629df09ef8ff0a8fa64259d,54d8810bf4c198c5a3464f479923fa29b5e1c9e9,83e702b297961844466c0147a7d4ffdd,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,create-react-app::::packages/eslint-config-react-app/package.json::::version::::version:0.4.0 <-> create-react-app::::packages/react-dev-utils/package.json::::version::::version:0.4.0,packages/react-dev-utils/package.json,create-react-app::::packages/react-dev-utils/package.json::::version(location: 3),git show 5067d1289670f3cda629df09ef8ff0a8fa64259d -- packages/react-dev-utils/package.json
