occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;category
0e7adfdeb731ba7f499af6a164206ae891e892c9;a4f945017baeb3a8cb7e9be8e9afb5f9b41a4f5a;5e5c5d0bcabdf9ec45e161eff59a90e2;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bitcoin::::contrib/gitian-descriptors/gitian-linux.yml::::remotes::::remotes_0::::dir::::bitcoin <-> bitcoin::::contrib/gitian-descriptors/gitian-win.yml::::name::::bitcoin;contrib/gitian-descriptors/gitian-win.yml;bitcoin::::contrib/gitian-descriptors/gitian-win.yml::::name(location: 2);git show 0e7adfdeb731ba7f499af6a164206ae891e892c9 -- contrib/gitian-descriptors/gitian-win.yml;no;name in yaml file;obvious no conflict
0e7adfdeb731ba7f499af6a164206ae891e892c9;a4f945017baeb3a8cb7e9be8e9afb5f9b41a4f5a;80a3a02ecd4df8e13fc80606070fcfe3;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bitcoin::::contrib/gitian-descriptors/gitian-linux.yml::::name::::bitcoin <-> bitcoin::::contrib/gitian-descriptors/gitian-win.yml::::remotes::::remotes_0::::dir::::bitcoin;contrib/gitian-descriptors/gitian-linux.yml;bitcoin::::contrib/gitian-descriptors/gitian-linux.yml::::name(location: 2);git show 0e7adfdeb731ba7f499af6a164206ae891e892c9 -- contrib/gitian-descriptors/gitian-linux.yml;no;name in yaml file;obvious no conflict
2ae21125d1db0cfc9cd00bac2641c3da21bc3d9a;feab9d4c916ab440d7195ab0c77c1e7b077b2ccc;42ac295b6f53596c3a8c29eceabbe4b3;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bitcoin::::.appveyor.yml::::environment::::QT_DOWNLOAD_URL::::https://github.com/sipsorcery/qt_win_binary/releases/download/v1.4/Qt5.9.8_x64_static_vs2019.zip <-> bitcoin::::.github/workflows/ci.yml::::jobs::::build::::env::::QT_DOWNLOAD_URL::::https://github.com/sipsorcery/qt_win_binary/releases/download/v1.4/Qt5.9.8_x64_static_vs2019.zip;.appveyor.yml;bitcoin::::.appveyor.yml::::environment::::QT_DOWNLOAD_URL(location: 12);git show 2ae21125d1db0cfc9cd00bac2641c3da21bc3d9a -- .appveyor.yml;yes;option;same option
2ae21125d1db0cfc9cd00bac2641c3da21bc3d9a;feab9d4c916ab440d7195ab0c77c1e7b077b2ccc;cdaedf9e1505160fae394a135b6924eb;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bitcoin::::.appveyor.yml::::environment::::QT_DOWNLOAD_HASH::::f285cbb02bec3b3f3cc2621e3fa7d5edf0d6a66fa30c57859e583acda954ea80 <-> bitcoin::::.github/workflows/ci.yml::::jobs::::build::::env::::QT_DOWNLOAD_HASH::::f285cbb02bec3b3f3cc2621e3fa7d5edf0d6a66fa30c57859e583acda954ea80;.appveyor.yml;bitcoin::::.appveyor.yml::::environment::::QT_DOWNLOAD_HASH(location: 13);git show 2ae21125d1db0cfc9cd00bac2641c3da21bc3d9a -- .appveyor.yml;yes;option;same option
389e2e0828689122051a0a0d94541bf1cf120b99;008cb39704f2e695108cbf3db155909ea91a7732;14872a380b22a4785f8cc051e7096921;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bitcoin::::contrib/gitian-descriptors/gitian-win32.yml::::remotes::::remotes_0::::url::::https://github.com/bitcoin/bitcoin.git <-> bitcoin::::contrib/gitian-descriptors/gitian.yml::::remotes::::remotes_0::::url::::https://github.com/bitcoin/bitcoin.git;contrib/gitian-descriptors/gitian-win32.yml;bitcoin::::contrib/gitian-descriptors/gitian-win32.yml::::remotes::::remotes_0::::url(location: 15);git show 389e2e0828689122051a0a0d94541bf1cf120b99 -- contrib/gitian-descriptors/gitian-win32.yml;yes;option;same option
456c9a2260a4d3b153f61d73831af06e9d71dd23;ccbe1aad14480810c04028e10b93f8c256bf00f5;19636520362d8d922454615eaaefdd6b;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bitcoin::::.travis.yml::::dist::::trusty <-> bitcoin::::contrib/gitian-descriptors/gitian-linux.yml::::suites::::trusty;contrib/gitian-descriptors/gitian-linux.yml;bitcoin::::contrib/gitian-descriptors/gitian-linux.yml::::suites(location: 4);git show 456c9a2260a4d3b153f61d73831af06e9d71dd23 -- contrib/gitian-descriptors/gitian-linux.yml;no;magic words, different options;magic number/word
456c9a2260a4d3b153f61d73831af06e9d71dd23;ccbe1aad14480810c04028e10b93f8c256bf00f5;6dbbc24471bd050641b15f5d92147dbd;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bitcoin::::.travis.yml::::dist::::trusty <-> bitcoin::::contrib/gitian-descriptors/gitian-win.yml::::suites::::trusty;contrib/gitian-descriptors/gitian-win.yml;bitcoin::::contrib/gitian-descriptors/gitian-win.yml::::suites(location: 4);git show 456c9a2260a4d3b153f61d73831af06e9d71dd23 -- contrib/gitian-descriptors/gitian-win.yml;no;magic words, different options;magic number/word
456c9a2260a4d3b153f61d73831af06e9d71dd23;ccbe1aad14480810c04028e10b93f8c256bf00f5;7d95e3cacb3b6a068d0fce3f530eeac4;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bitcoin::::.travis.yml::::dist::::trusty <-> bitcoin::::contrib/gitian-descriptors/gitian-win-signer.yml::::suites::::trusty;contrib/gitian-descriptors/gitian-win-signer.yml;bitcoin::::contrib/gitian-descriptors/gitian-win-signer.yml::::suites(location: 3);git show 456c9a2260a4d3b153f61d73831af06e9d71dd23 -- contrib/gitian-descriptors/gitian-win-signer.yml;no;magic words, different options;magic number/word
456c9a2260a4d3b153f61d73831af06e9d71dd23;ccbe1aad14480810c04028e10b93f8c256bf00f5;2f2fc1acd817ad64bf87a833002f9bf5;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bitcoin::::.travis.yml::::dist::::trusty <-> bitcoin::::contrib/gitian-descriptors/gitian-osx.yml::::suites::::trusty;contrib/gitian-descriptors/gitian-osx.yml;bitcoin::::contrib/gitian-descriptors/gitian-osx.yml::::suites(location: 4);git show 456c9a2260a4d3b153f61d73831af06e9d71dd23 -- contrib/gitian-descriptors/gitian-osx.yml;no;magic words, different options;magic number/word
456c9a2260a4d3b153f61d73831af06e9d71dd23;ccbe1aad14480810c04028e10b93f8c256bf00f5;8c3a116645383186a9da3ecbef4e8107;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;bitcoin::::.travis.yml::::dist::::trusty <-> bitcoin::::contrib/gitian-descriptors/gitian-osx-signer.yml::::suites::::trusty;contrib/gitian-descriptors/gitian-osx-signer.yml;bitcoin::::contrib/gitian-descriptors/gitian-osx-signer.yml::::suites(location: 3);git show 456c9a2260a4d3b153f61d73831af06e9d71dd23 -- contrib/gitian-descriptors/gitian-osx-signer.yml;no;magic words, different options;magic number/word
